age_description,jaw_description,eyes_description,hair_description,nose_description,race_description,beard_description,gender_description,eyebrows_description,expression_description,additionalInfo_description,Attractive_og_img,Race_og_img,Memorable_og_img,Filename_og_img,AWSFile_og_img,ParticipantId,Task Data,Submitted Data,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Gender,Country Of Residence,Household Income,Race,Employment Status
mid 30s,pointed jaw,"light eyes, not very big",strawberry blonde,narrow nose flared nostrils,white,none,male,sparse ,neutral,none ,3.0,1.0,1.0,Google_1_Doris Acord_7_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Doris%20Acord_7_oval.jpg,004C52DBB90843589B3E19F32ADA148D,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""1.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Doris Acord_7_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Doris%20Acord_7_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":388}","{""Data"":{""taskData"":{""age"":""mid 30s"",""jaw"":""pointed jaw"",""eyes"":""light eyes, not very big"",""hair"":""strawberry blonde"",""nose"":""narrow nose flared nostrils"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""sparse "",""expression"":""neutral"",""additionalInfo"":""none ""}}}",38,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Retail,Married,Democrat,Woman,United States,"$150,0000-$174,999",White,Full-time
late 30's,Pointy,Deep Brown,Straight dark brown,Small and round,white,None,female,Thin round and brown,smiling,Wearing eye makeup,4.0,1.0,3.0,Google_1_Denise Eggert_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Denise%20Eggert_1_oval.jpg,CC9E876ED84249A286B76B5DF1C5103A,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Denise Eggert_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Denise%20Eggert_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":390}","{""Data"":{""taskData"":{""age"":""late 30\u0027s"",""jaw"":""Pointy"",""eyes"":""Deep Brown"",""hair"":""Straight dark brown"",""nose"":""Small and round"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Thin round and brown"",""expression"":""smiling"",""additionalInfo"":""Wearing eye makeup""}}}",21,"Some college, but no degree",Female,Other,Single,Independent,Woman,United States,"$90,000-$99,999",White,Unemployed
late 30s,square,blue,curly brunette,proportionate to face ,white,None,female,light brown ,smiling,"straight white teeth, red lips, fair skin",3.0,1.0,3.0,Google_1_Pamela Salvatore_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Pamela%20Salvatore_3_oval.jpg,31A3632BC96D4E8A970004BEE71C5275,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Pamela Salvatore_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Pamela%20Salvatore_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":393}","{""Data"":{""taskData"":{""age"":""late 30s"",""jaw"":""square"",""eyes"":""blue"",""hair"":""curly brunette"",""nose"":""proportionate to face "",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""light brown "",""expression"":""smiling"",""additionalInfo"":""straight white teeth, red lips, fair skin""}}}",39,"Bachelor's degree (for example: BA, AB, BS)",Female,Finance,Married,Republican,Woman,United States,"$150,0000-$174,999",White,Business Owner
Mid 50s,"Square, rugged","Bright, blue","Wavy, short, dark brown","Angular, slightly broad",white,None,male,"Thick, dark brown",neutral,,2.0,1.0,4.0,Gary_Dale_6_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Gary_Dale_6_oval.jpg,370A1EAFAA564247A55786363BCAE19C,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Gary_Dale_6_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Gary_Dale_6_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":394}","{""Data"":{""taskData"":{""age"":""Mid 50s"",""jaw"":""Square, rugged"",""eyes"":""Bright, blue"",""hair"":""Wavy, short, dark brown"",""nose"":""Angular, slightly broad"",""race"":""white"",""beard"":""None"",""gender"":""male"",""eyebrows"":""Thick, dark brown"",""expression"":""neutral""}}}",34,"Some college, but no degree",Female,Information Technology,In a relationship,Democrat,Woman,United States,"$80,000-$89,999",Black or African American,Student
Early 50,Black and white beard,Large brown wide nose,Thick black and white ,Rounded high cheeks ,black,Happy smile expression ,male,Brown,smiling,"No glasses,  mole on side of face right side of cheeck close to eye.",3.0,2.0,3.0,Google_1_George Spurgeon_13_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_George%20Spurgeon_13_oval.jpg,A25B97AE9325490CBA38CF6312A5156E,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_George Spurgeon_13_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_George%20Spurgeon_13_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":395}","{""Data"":{""taskData"":{""age"":""Early 50"",""jaw"":""Black and white beard"",""eyes"":""Large brown wide nose"",""hair"":""Thick black and white "",""nose"":""Rounded high cheeks "",""race"":""black"",""beard"":""Happy smile expression "",""gender"":""male"",""eyebrows"":""Brown"",""expression"":""smiling"",""additionalInfo"":""No glasses,  mole on side of face right side of cheeck close to eye.""}}}",39,"Bachelor's degree (for example: BA, AB, BS)",Female,Information Technology,In a relationship,Democrat,Woman,United States,"$60,000-$69,999",Black or African American,Full-time
30,soft,brown,short brown,straight,white,none,male,Brown straight,smiling,"no glasses, no facial hair, no forehead wrinkles",3.0,1.0,2.0,Google_1_Daniel Shults_14_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Daniel%20Shults_14_oval.jpg,D3062FE806514773B1E4338EE9726DC2,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Daniel Shults_14_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Daniel%20Shults_14_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":398}","{""Data"":{""taskData"":{""age"":""30"",""jaw"":""soft"",""eyes"":""brown"",""hair"":""short brown"",""nose"":""straight"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""Brown straight"",""expression"":""smiling"",""additionalInfo"":""no glasses, no facial hair, no forehead wrinkles""}}}",60,High school graduate - high school diploma or the equivalent (for example: GED),Female,Retired,Divorced,Republican,Woman,United States,"$40,000-$49,999",White,Retired
55,square chin,"large almond shaped eyes, not protruding",mostly grey and white,"short, bulbous nose",white,,male,dark and arched,smiling,,3.0,1.0,4.0,Google_1_Chad Lacombe_19_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Chad%20Lacombe_19_oval.jpg,33EA8481033D40D085A8FA4AF8B0ED69,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Chad Lacombe_19_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Chad%20Lacombe_19_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":399}","{""Data"":{""taskData"":{""age"":""55"",""jaw"":""square chin"",""eyes"":""large almond shaped eyes, not protruding"",""hair"":""mostly grey and white"",""nose"":""short, bulbous nose"",""race"":""white"",""gender"":""male"",""eyebrows"":""dark and arched"",""expression"":""smiling""}}}",64,High school graduate - high school diploma or the equivalent (for example: GED),Female,Retired,Widowed,Republican,Woman,United States,"$20,000-$29,999",White,Student
mid-30s,"Narrow, pointed",Green,"Straight, brunette","Average, pointed",white,None,female,Thin brown,smiling,"Straight white teeth, smile lines by eyes, thin lips",4.0,1.0,3.0,Google_1_Joann Masse_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Joann%20Masse_5_oval.jpg,3835CA1FC4EA4434A15716EF23D294D5,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Joann Masse_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Joann%20Masse_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":400}","{""Data"":{""taskData"":{""age"":""mid-30s"",""jaw"":""Narrow, pointed"",""eyes"":""Green"",""hair"":""Straight, brunette"",""nose"":""Average, pointed"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Thin brown"",""expression"":""smiling"",""additionalInfo"":""Straight white teeth, smile lines by eyes, thin lips""}}}",23,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Married,Independent,Woman,United States,"$10,000-$19,999",White,"Not in paid work (e.g., homemaker, disabled)"
late 40's,mustache and goat tee,Thin and long,Dark brown,square,white,slight grin,male,Brown,smiling,Left ear pierced with small gold hoop earring,1.0,1.0,3.0,Google_1_Donald Mcclurg_16_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Donald%20Mcclurg_16_oval.jpg,3483D6937BAD412F8398E3D8C9DAA243,"{""RowData"":[{""CellData"":""1.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Donald Mcclurg_16_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Donald%20Mcclurg_16_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":33}","{""Data"":{""taskData"":{""age"":""late 40\u0027s"",""jaw"":""mustache and goat tee"",""eyes"":""Thin and long"",""hair"":""Dark brown"",""nose"":""square"",""race"":""white"",""beard"":""slight grin"",""gender"":""male"",""eyebrows"":""Brown"",""expression"":""smiling"",""additionalInfo"":""Left ear pierced with small gold hoop earring""}}}",66,"Some college, but no degree",Female,Business Management & Administration,Married,Republican,Woman,United States,"$90,000-$99,999",White,Business Owner
mid-40s,round,brown,short blond,medium,white,none,female,brown,smiling,,3.0,1.0,2.0,Google_1_Ryan Mauney_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Ryan%20Mauney_9_oval.jpg,9566969F34724B8F8928CFD79C5D8B35,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Ryan Mauney_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Ryan%20Mauney_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":320}","{""Data"":{""taskData"":{""age"":""mid-40s"",""jaw"":""round"",""eyes"":""brown"",""hair"":""short blond"",""nose"":""medium"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""brown"",""expression"":""smiling""}}}",34,"Bachelor's degree (for example: BA, AB, BS)",Male,"Science, Technology, Engineering & Mathematics",In a relationship,Democrat,Man,United States,"$150,0000-$174,999",An ethnicity not listed here,Full-time
70,I forget,I forget,short brunette,I forget,white,None,female,I forget,smiling,Tilted head.,3.0,1.0,4.0,Google_1_Randy Daigle_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Randy%20Daigle_9_oval.jpg,4909869E1F4946FD8D57ACAADF9D0135,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Randy Daigle_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Randy%20Daigle_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":402}","{""Data"":{""taskData"":{""age"":""70"",""jaw"":""I forget"",""eyes"":""I forget"",""hair"":""short brunette"",""nose"":""I forget"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""I forget"",""expression"":""smiling"",""additionalInfo"":""Tilted head.""}}}",43,"Some college, but no degree",Male,Other,Single,Independent,Man,United States,"$50,000-$59,999",White,Unemployed
mid-20s,round,"Large, haze colored","brown, short",Small,white,None,female,"brown, ",smiling,,4.0,1.0,3.0,Google_1_Sarah Woodcock_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Sarah%20Woodcock_3_oval.jpg,870FB7B0CA73406EA65982559BC7ACB4,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Sarah Woodcock_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Sarah%20Woodcock_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":344}","{""Data"":{""taskData"":{""age"":""mid-20s"",""jaw"":""round"",""eyes"":""Large, haze colored"",""hair"":""brown, short"",""nose"":""Small"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""brown, "",""expression"":""smiling""}}}",65,"Bachelor's degree (for example: BA, AB, BS)",Male,Education & Training,Married,Democrat,Man,United States,"$80,000-$89,999",Black or African American,Full-time
Mid-40s,Round,Average almond shaped dark brown,Mid length black hair,Broad nose large nostrils and bride,black,None,female,Average black,smiling,,3.0,2.0,3.0,Google_1_Arthur Mcelhaney_13_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Arthur%20Mcelhaney_13_oval.jpg,6759C9180A254756AFAA44CED4A84688,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Arthur Mcelhaney_13_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Arthur%20Mcelhaney_13_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":296}","{""Data"":{""taskData"":{""age"":""Mid-40s"",""jaw"":""Round"",""eyes"":""Average almond shaped dark brown"",""hair"":""Mid length black hair"",""nose"":""Broad nose large nostrils and bride"",""race"":""black"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Average black"",""expression"":""smiling""}}}",34,"Associate degree (for example: AA, AS)",Female,Retail,Single,Democrat,Woman,United States,"Less than $10,000",White,Student
Late 40’s ,Witch jaw,Huge brown ,Short straight blonde ,Normal mid size pointier nose ,white,None ,female,Thick brown ,smiling,Facial expression looks forced,3.0,1.0,4.0,Google_1_Norman Lebeau_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Norman%20Lebeau_9_oval.jpg,E565252333A24962AB2FA6EC776027EF,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Norman Lebeau_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Norman%20Lebeau_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":295}","{""Data"":{""taskData"":{""age"":""Late 40\u2019s "",""jaw"":""Witch jaw"",""eyes"":""Huge brown "",""hair"":""Short straight blonde "",""nose"":""Normal mid size pointier nose "",""race"":""white"",""beard"":""None "",""gender"":""female"",""eyebrows"":""Thick brown "",""expression"":""smiling"",""additionalInfo"":""Facial expression looks forced""}}}",45,"Bachelor's degree (for example: BA, AB, BS)",Female,Hospitality & Tourism,In a relationship,Independent,Woman,United States,"$175,000-$199,999",Chinese,Full-time
65,standard,don't remember,"short, balding",standard,white,none,male,thick and whitish,neutral,whitish mustace,2.0,1.0,4.0,Google_1_Ernest Snyder_13_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Ernest%20Snyder_13_oval.jpg,971EA2EA6F5148F4B49D71C60242DEFE,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Ernest Snyder_13_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Ernest%20Snyder_13_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":405}","{""Data"":{""taskData"":{""age"":""65"",""jaw"":""standard"",""eyes"":""don\u0027t remember"",""hair"":""short, balding"",""nose"":""standard"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""thick and whitish"",""expression"":""neutral"",""additionalInfo"":""whitish mustace""}}}",56,"Bachelor's degree (for example: BA, AB, BS)",Male,Retail,Married,Independent,Man,United States,"$125,000-$149,999",White,Full-time
60s,round,large,"short, straight, white ","short, small nostrils, pointed",white,none,female,"thin, grey",smiling,,3.0,1.0,4.0,Google_1_Billy Whitener_16_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Billy%20Whitener_16_oval.jpg,ACF8230C6CE74056A2A7C0EA68546434,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Billy Whitener_16_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Billy%20Whitener_16_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":312}","{""Data"":{""taskData"":{""age"":""60s"",""jaw"":""round"",""eyes"":""large"",""hair"":""short, straight, white "",""nose"":""short, small nostrils, pointed"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin, grey"",""expression"":""smiling""}}}",30,"Some college, but no degree",Male,Information Technology,Single,Democrat,Man,United States,"$30,000-$39,999",Chinese,Unemployed
"mid60's, retirement age is approaching. ","normal looking jaw line, nothing pronounced","very comforting eyes, very genial, made me feel very comfortable","Greying hair, looks to be reasonably short haircut, hard to tell as pic is cropped","average sized nose, slightly pointy",white,no facial hair,female,maintained/manicured eyebrows,smiling,,3.0,1.0,3.0,Google_1_Candice Holt_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Candice%20Holt_1_oval.jpg,787C289EDC204DF286EFE9EAE98551E4,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Candice Holt_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Candice%20Holt_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":384}","{""Data"":{""taskData"":{""age"":""mid60\u0027s, retirement age is approaching. "",""jaw"":""normal looking jaw line, nothing pronounced"",""eyes"":""very comforting eyes, very genial, made me feel very comfortable"",""hair"":""Greying hair, looks to be reasonably short haircut, hard to tell as pic is cropped"",""nose"":""average sized nose, slightly pointy"",""race"":""white"",""beard"":""no facial hair"",""gender"":""female"",""eyebrows"":""maintained/manicured eyebrows"",""expression"":""smiling""}}}",45,"Bachelor's degree (for example: BA, AB, BS)",Male,Education & Training,In a civil union/partnership,Independent,Man,United States,"$125,000-$149,999",White,Part-time
Early to Mid 40s,Soft,Blue,Medium Straight Blonde,Flared nostrils,white,None,female,Medium Straight Blonde,smiling,,4.0,1.0,3.0,Google_1_Virginia Christy_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Virginia%20Christy_9_oval.jpg,402B718A973F4DCF8B1E0BE6654B490D,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Virginia Christy_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Virginia%20Christy_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":409}","{""Data"":{""taskData"":{""age"":""Early to Mid 40s"",""jaw"":""Soft"",""eyes"":""Blue"",""hair"":""Medium Straight Blonde"",""nose"":""Flared nostrils"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Medium Straight Blonde"",""expression"":""smiling""}}}",32,"Bachelor's degree (for example: BA, AB, BS)",Male,Other,Single,Independent,Man,United States,"$150,0000-$174,999",White,Part-time
late 20s,oval,small blue,long dirty blond,small nostrils with big nasal folds,white,none,female,thin light brown,smiling,"none
",3.0,1.0,3.0,Google_1_Melissa Cushing_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Melissa%20Cushing_5_oval.jpg,465321558AD14D24A34535FF043CFC9A,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Melissa Cushing_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Melissa%20Cushing_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":307}","{""Data"":{""taskData"":{""age"":""late 20s"",""jaw"":""oval"",""eyes"":""small blue"",""hair"":""long dirty blond"",""nose"":""small nostrils with big nasal folds"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin light brown"",""expression"":""smiling"",""additionalInfo"":""none\n""}}}",36,"Bachelor's degree (for example: BA, AB, BS)",Female,I’d Rather Not Say,Married,Republican,Woman,United States,"$60,000-$69,999",White,Full-time
50,no beard,regular size,brown wavy,regular sizw,white,smiling big crooked teeth,female,brown,smiling,no glasses,2.0,1.0,4.0,Google_1_Grace Dunham_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Grace%20Dunham_3_oval.jpg,686ADF6F10E14C95A4526AFC8BF39290,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Grace Dunham_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Grace%20Dunham_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":401}","{""Data"":{""taskData"":{""age"":""50"",""jaw"":""no beard"",""eyes"":""regular size"",""hair"":""brown wavy"",""nose"":""regular sizw"",""race"":""white"",""beard"":""smiling big crooked teeth"",""gender"":""female"",""eyebrows"":""brown"",""expression"":""smiling"",""additionalInfo"":""no glasses""}}}",64,"Bachelor's degree (for example: BA, AB, BS)",Female,Arts,Divorced,Independent,Woman,United States,"$20,000-$29,999",White,Full-time
