age_description,jaw_description,eyes_description,hair_description,nose_description,race_description,beard_description,gender_description,eyebrows_description,expression_description,additionalInfo_description,Attractive_og_img,Race_og_img,Memorable_og_img,Filename_og_img,AWSFile_og_img,ParticipantId,Task Data,Submitted Data,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Gender,Country Of Residence,Household Income,Race,Employment Status,Filepath_og_img,DALLE_img_filepath,DALLE_images_transformed
40,goatee around mouth,medium,Thick dark raised,no chin,white,"surprised, eyes raised",male,blue or green,neutral,bald,4.0,1.0,4.0,Google_1_Randy Deluna_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Randy%20Deluna_3_oval.jpg,282F71E373F243149ADC218A8A1E4A0C,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Randy Deluna_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Randy%20Deluna_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":571}","{""Data"":{""taskData"":{""age"":""40"",""jaw"":""goatee around mouth"",""eyes"":""medium"",""hair"":""Thick dark raised"",""nose"":""no chin"",""race"":""white"",""beard"":""surprised, eyes raised"",""gender"":""male"",""eyebrows"":""blue or green"",""expression"":""neutral"",""additionalInfo"":""bald""}}}",38,"Bachelor's degree (for example: BA, AB, BS)",Male,"Transportation, Distribution & Logistics",In a relationship,Independent,Man,United States,"$40,000-$49,999",White,Full-time,1k-MTurk-Images/Google_1_Randy Deluna_3_oval.jpg,DALLE_images/Google_1_Randy Deluna_3_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Randy Deluna_3_oval_DALLE_TRANSFORMED.jpg
Late 30s,Square,Wide set brown,"Long, sharp bangs, unnatural blonde",Small nostrils and wide,white,None,female,"Thin, high, and brown",smiling,N/a,4.0,1.0,4.0,Google_1_Julia Frantz_19_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Julia%20Frantz_19_oval.jpg,25E8AEB8667E45908734586D4F888366,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Julia Frantz_19_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Julia%20Frantz_19_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":572}","{""Data"":{""taskData"":{""age"":""Late 30s"",""jaw"":""Square"",""eyes"":""Wide set brown"",""hair"":""Long, sharp bangs, unnatural blonde"",""nose"":""Small nostrils and wide"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Thin, high, and brown"",""expression"":""smiling"",""additionalInfo"":""N/a""}}}",27,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Education & Training,Single,Democrat,Woman,United States,"$40,000-$49,999",Black or African American,Full-time,1k-MTurk-Images/Google_1_Julia Frantz_19_oval.jpg,DALLE_images/Google_1_Julia Frantz_19_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Julia Frantz_19_oval_DALLE_TRANSFORMED.jpg
Mid 50,Square rounded,Dark brown,Short brown,Button nose,white,None,female,Thick brown eyebrows,neutral,"N/A
",1.0,1.0,2.0,Google_1_Nicole Blackshear_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Nicole%20Blackshear_5_oval.jpg,418937617BA74237942B4ECB916111E6,"{""RowData"":[{""CellData"":""1.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Nicole Blackshear_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Nicole%20Blackshear_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":336}","{""Data"":{""taskData"":{""age"":""Mid 50"",""jaw"":""Square rounded"",""eyes"":""Dark brown"",""hair"":""Short brown"",""nose"":""Button nose"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Thick brown eyebrows"",""expression"":""neutral"",""additionalInfo"":""N/A\n""}}}",32,"Some college, but no degree",Female,Other,Married,Democrat,Woman,United States,"$100,000-$124,999",White,"Not in paid work (e.g., homemaker, disabled)",1k-MTurk-Images/Google_1_Nicole Blackshear_5_oval.jpg,DALLE_images/Google_1_Nicole Blackshear_5_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Nicole Blackshear_5_oval_DALLE_TRANSFORMED.jpg
35,oval,small blue,artificially dyed red long hair,angled smallhook,white,none,female,thin light brown,smiling,smirking,4.0,1.0,3.0,Google_1_Martin Burbank_19_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Martin%20Burbank_19_oval.jpg,C64E0762EEC54235ABA43FE014831D75,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Martin Burbank_19_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Martin%20Burbank_19_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":575}","{""Data"":{""taskData"":{""age"":""35"",""jaw"":""oval"",""eyes"":""small blue"",""hair"":""artificially dyed red long hair"",""nose"":""angled smallhook"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin light brown"",""expression"":""smiling"",""additionalInfo"":""smirking""}}}",29,"Bachelor's degree (for example: BA, AB, BS)",Female,Hospitality & Tourism,In a relationship,Something else,Woman,United States,"$100,000-$124,999",White,Part-time,1k-MTurk-Images/Google_1_Martin Burbank_19_oval.jpg,DALLE_images/Google_1_Martin Burbank_19_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Martin Burbank_19_oval_DALLE_TRANSFORMED.jpg
54,oval ,large and colored,short thin red hair,small nostrils and long nose,white,none,female,thin and brown,smiling,No description provided,1.0,1.0,2.0,Google_1_Hannah Linville_7_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Hannah%20Linville_7_oval.jpg,98B654CE2DB04C9BADE8D5C3ABD9CE4E,"{""RowData"":[{""CellData"":""1.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Hannah Linville_7_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Hannah%20Linville_7_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":474}","{""Data"":{""taskData"":{""age"":""54"",""jaw"":""oval "",""eyes"":""large and colored"",""hair"":""short thin red hair"",""nose"":""small nostrils and long nose"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin and brown"",""expression"":""smiling""}}}",23,"Associate degree (for example: AA, AS)",Female,Information Technology,Single,Independent,Woman,United States,"$50,000-$59,999",Black or African American,Full-time,1k-MTurk-Images/Google_1_Hannah Linville_7_oval.jpg,DALLE_images/Google_1_Hannah Linville_7_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Hannah Linville_7_oval_DALLE_TRANSFORMED.jpg
mid 30's to 50,not square,dark blue,"receeding, brunette","asymmetric, large",white,none,male,"brown, thick",smiling,"thin lips, slight dimple in right cheek",3.0,1.0,3.0,Google_1_Sean Shores_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Sean%20Shores_5_oval.jpg,E59F6691E3F94822B31794CB62283F0E,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Sean Shores_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Sean%20Shores_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":576}","{""Data"":{""taskData"":{""age"":""mid 30\u0027s to 50"",""jaw"":""not square"",""eyes"":""dark blue"",""hair"":""receeding, brunette"",""nose"":""asymmetric, large"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""brown, thick"",""expression"":""smiling"",""additionalInfo"":""thin lips, slight dimple in right cheek""}}}",42,"Bachelor's degree (for example: BA, AB, BS)",Female,Hospitality & Tourism,Single,Democrat,Woman,United States,Prefer not to say,Black or African American,Business Owner,1k-MTurk-Images/Google_1_Sean Shores_5_oval.jpg,DALLE_images/Google_1_Sean Shores_5_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Sean Shores_5_oval_DALLE_TRANSFORMED.jpg
mid 40's,angled,large blue,medium length brown hair,medium size button nose,white,none,female,Brownish blonde ,neutral,No,2.0,1.0,2.0,Google_1_Roberta Slaughter_15_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Roberta%20Slaughter_15_oval.jpg,2786E0A8DBDF4936801E535C64138EE9,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Roberta Slaughter_15_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Roberta%20Slaughter_15_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":477}","{""Data"":{""taskData"":{""age"":""mid 40\u0027s"",""jaw"":""angled"",""eyes"":""large blue"",""hair"":""medium length brown hair"",""nose"":""medium size button nose"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""Brownish blonde "",""expression"":""neutral"",""additionalInfo"":""No""}}}",38,"Some college, but no degree",Female,Other,Married,Republican,Woman,United States,"$80,000-$89,999",White,"Not in paid work (e.g., homemaker, disabled)",1k-MTurk-Images/Google_1_Roberta Slaughter_15_oval.jpg,DALLE_images/Google_1_Roberta Slaughter_15_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Roberta Slaughter_15_oval_DALLE_TRANSFORMED.jpg
maybe 20's,pointed,medium brown,"very short, close to head",Wider nose but flat with broad nostrils,black,very thin goatee --thin mustache and very thin line of beard,male,"Slightly thick, toward the nose there were vertical lines perhaps indicating a scar, on both sides",neutral,No description provided,2.0,2.0,3.0,Google_1_Aaron Turner_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Aaron%20Turner_9_oval.jpg,5B73024A9EF1467DA1B3C595803D215A,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Aaron Turner_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Aaron%20Turner_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":577}","{""Data"":{""taskData"":{""age"":""maybe 20\u0027s"",""jaw"":""pointed"",""eyes"":""medium brown"",""hair"":""very short, close to head"",""nose"":""Wider nose but flat with broad nostrils"",""race"":""black"",""beard"":""very thin goatee --thin mustache and very thin line of beard"",""gender"":""male"",""eyebrows"":""Slightly thick, toward the nose there were vertical lines perhaps indicating a scar, on both sides"",""expression"":""neutral""}}}",50,"Bachelor's degree (for example: BA, AB, BS)",Female,Manufacturing,Married,Independent,Woman,United States,"$100,000-$124,999",White,Part-time,1k-MTurk-Images/Google_1_Aaron Turner_9_oval.jpg,DALLE_images/Google_1_Aaron Turner_9_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Aaron Turner_9_oval_DALLE_TRANSFORMED.jpg
late 20s,mildly pointed,large black,short,medium nostrils slightly rounded,white,none,female,thin black,smiling,"Prominent Cheek Bones, Small rounded ears",4.0,1.0,3.0,Google_1_Harry Elson_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Harry%20Elson_5_oval.jpg,5E2EA07F36134A9D9515B3D2F7326B9F,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Harry Elson_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Harry%20Elson_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":154}","{""Data"":{""taskData"":{""age"":""late 20s"",""jaw"":""mildly pointed"",""eyes"":""large black"",""hair"":""short"",""nose"":""medium nostrils slightly rounded"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin black"",""expression"":""smiling"",""additionalInfo"":""Prominent Cheek Bones, Small rounded ears""}}}",20,"Some college, but no degree",Male,"Science, Technology, Engineering & Mathematics",Single,Democrat,Man,United States,Prefer not to say,Other,Student,1k-MTurk-Images/Google_1_Harry Elson_5_oval.jpg,DALLE_images/Google_1_Harry Elson_5_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Harry Elson_5_oval_DALLE_TRANSFORMED.jpg
upper 20's,square jaw,Very beautiful blue eyes ,Short black hair,"regular nose, ordinary ",white,He did not have a beard,male,This black eyebrows,neutral,No additional information,3.0,1.0,4.0,Google_1_Patsy Steadman_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Patsy%20Steadman_3_oval.jpg,8D10171617EB4461833513720BDDFF08,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Patsy Steadman_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Patsy%20Steadman_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":570}","{""Data"":{""taskData"":{""age"":""upper 20\u0027s"",""jaw"":""square jaw"",""eyes"":""Very beautiful blue eyes "",""hair"":""Short black hair"",""nose"":""regular nose, ordinary "",""race"":""white"",""beard"":""He did not have a beard"",""gender"":""male"",""eyebrows"":""This black eyebrows"",""expression"":""neutral"",""additionalInfo"":""No additional information""}}}",61,"Some college, but no degree",Female,Business Management & Administration,Divorced,Republican,Woman,United States,"$40,000-$49,999",White,Full-time,1k-MTurk-Images/Google_1_Patsy Steadman_3_oval.jpg,DALLE_images/Google_1_Patsy Steadman_3_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Patsy Steadman_3_oval_DALLE_TRANSFORMED.jpg
early-30s,diamond shaped face,light blue,light brown,dainty with a slightly pointed tip,white,none,female,thin light brown,smiling,"cupid's bow lips, looks like a young Melania Trump in features",4.0,1.0,4.0,Google_1_Shelia Bussey_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Shelia%20Bussey_3_oval.jpg,CF2F4ECB472D4A8FB3F2B87E2FD4EBED,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Shelia Bussey_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Shelia%20Bussey_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":497}","{""Data"":{""taskData"":{""age"":""early-30s"",""jaw"":""diamond shaped face"",""eyes"":""light blue"",""hair"":""light brown"",""nose"":""dainty with a slightly pointed tip"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin light brown"",""expression"":""smiling"",""additionalInfo"":""cupid\u0027s bow lips, looks like a young Melania Trump in features""}}}",45,"Doctorate degree (for example: PhD, EdD)",Female,Architecture and Construction,Married,Democrat,Woman,United States,"$100,000-$124,999",White,Full-time,1k-MTurk-Images/Google_1_Shelia Bussey_3_oval.jpg,error,error
mid 20s,"oval shaped face, non-defined jaw","blue, sleepy eyes","black hair, dark brown skin",wide flat nose,black,no beard,male,sparse,neutral,big lips ,2.0,2.0,3.0,Google_1_Thomas Mercado_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Thomas%20Mercado_9_oval.jpg,B9360F5511954062A797B1228A4AF9E9,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Thomas Mercado_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Thomas%20Mercado_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":578}","{""Data"":{""taskData"":{""age"":""mid 20s"",""jaw"":""oval shaped face, non-defined jaw"",""eyes"":""blue, sleepy eyes"",""hair"":""black hair, dark brown skin"",""nose"":""wide flat nose"",""race"":""black"",""beard"":""no beard"",""gender"":""male"",""eyebrows"":""sparse"",""expression"":""neutral"",""additionalInfo"":""big lips ""}}}",41,"Some college, but no degree",Female,Finance,Married,Something else,Woman,United States,"$175,000-$199,999",White,Full-time,1k-MTurk-Images/Google_1_Thomas Mercado_9_oval.jpg,DALLE_images/Google_1_Thomas Mercado_9_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Thomas Mercado_9_oval_DALLE_TRANSFORMED.jpg
mid 30's,square ,hazel ,short brown hair,pointed,white,none,male,brown,smiling,no ,3.0,1.0,2.0,Google_1_Lawrence Edwards_15_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Lawrence%20Edwards_15_oval.jpg,14AC26F60640419982870C6396588A13,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Lawrence Edwards_15_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Lawrence%20Edwards_15_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":579}","{""Data"":{""taskData"":{""age"":""mid 30\u0027s"",""jaw"":""square "",""eyes"":""hazel "",""hair"":""short brown hair"",""nose"":""pointed"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""brown"",""expression"":""smiling"",""additionalInfo"":""no ""}}}",42,High school graduate - high school diploma or the equivalent (for example: GED),Female,Other,Single,Republican,Woman,United States,"$40,000-$49,999",White,"Not in paid work (e.g., homemaker, disabled)",1k-MTurk-Images/Google_1_Lawrence Edwards_15_oval.jpg,DALLE_images/Google_1_Lawrence Edwards_15_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Lawrence Edwards_15_oval_DALLE_TRANSFORMED.jpg
about 40,pointed,average sized brown,Brown medium length,delicate upturned,black,none,female,thin,smiling,"very white teeth, wearing lipstick",4.0,2.0,3.0,Google_1_Kathryn Earley_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Kathryn%20Earley_9_oval.jpg,532F35E062584521B968914A55D5FCF1,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Kathryn Earley_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Kathryn%20Earley_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":580}","{""Data"":{""taskData"":{""age"":""about 40"",""jaw"":""pointed"",""eyes"":""average sized brown"",""hair"":""Brown medium length"",""nose"":""delicate upturned"",""race"":""black"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin"",""expression"":""smiling"",""additionalInfo"":""very white teeth, wearing lipstick""}}}",54,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Information Technology,Married,Democrat,Woman,United States,"$125,000-$149,999",White,"Not in paid work (e.g., homemaker, disabled)",1k-MTurk-Images/Google_1_Kathryn Earley_9_oval.jpg,DALLE_images/Google_1_Kathryn Earley_9_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Kathryn Earley_9_oval_DALLE_TRANSFORMED.jpg
Mid-40s,rounded,Average size,Brown hair,Small somewhat pointy,white,none,male,Brown,smiling,Smiling,3.0,1.0,3.0,Google_1_Debra Manion_15_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Debra%20Manion_15_oval.jpg,8FE63FB63C3340349463FAD18CAE744C,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Debra Manion_15_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Debra%20Manion_15_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":581}","{""Data"":{""taskData"":{""age"":""Mid-40s"",""jaw"":""rounded"",""eyes"":""Average size"",""hair"":""Brown hair"",""nose"":""Small somewhat pointy"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""Brown"",""expression"":""smiling"",""additionalInfo"":""Smiling""}}}",58,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,In a civil union/partnership,Something else,Woman,United States,"$175,000-$199,999",White,Part-time,1k-MTurk-Images/Google_1_Debra Manion_15_oval.jpg,DALLE_images/Google_1_Debra Manion_15_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Debra Manion_15_oval_DALLE_TRANSFORMED.jpg
65,Rounded,Brown,"Brown with lots of gray, maybe dyed?",Large and bulbous ,white,None,male,Thick and brown,smiling,No description provided,2.0,1.0,2.0,Google_1_Stephen Palmer_15_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Stephen%20Palmer_15_oval.jpg,87B45C75439E40809963DEB00A1275C6,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Stephen Palmer_15_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Stephen%20Palmer_15_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":582}","{""Data"":{""taskData"":{""age"":""65"",""jaw"":""Rounded"",""eyes"":""Brown"",""hair"":""Brown with lots of gray, maybe dyed?"",""nose"":""Large and bulbous "",""race"":""white"",""beard"":""None"",""gender"":""male"",""eyebrows"":""Thick and brown"",""expression"":""smiling""}}}",67,"Bachelor's degree (for example: BA, AB, BS)",Female,Retired,Separated,Democrat,Woman,United States,"$90,000-$99,999",White,Retired,1k-MTurk-Images/Google_1_Stephen Palmer_15_oval.jpg,DALLE_images/Google_1_Stephen Palmer_15_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Stephen Palmer_15_oval_DALLE_TRANSFORMED.jpg
